Time [s]	Amp[A]
8.232682  0.66
8.233183  0.61
8.233684  0.57
8.234185  0.64
8.234687  0.61
8.235188  0.64
8.235688  0.59
8.236189  0.61
8.236691  0.57
8.237192  0.56
8.237693  0.64
8.238195  0.57
8.238695  0.66
8.239196  0.64
8.239698  0.83
8.240198  0.63
8.240699  0.63
8.241200  0.67
8.241701  0.75
8.242203  0.64
8.242704  0.75
8.243205  0.72
8.243706  0.67
8.244207  0.53
8.244707  0.67
8.245209  0.54
8.245710  0.66
8.246210  0.72
8.246711  0.56
8.247212  0.66
8.247713  0.66
8.248214  0.64
8.248715  0.76
8.249216  0.70
8.249717  0.72
8.250218  0.61
8.250719  0.63
8.251220  0.63
8.251722  0.72
8.252222  0.64
8.252724  0.69
8.253224  0.76
8.253726  0.59
8.254227  0.66
8.254728  0.69
8.255230  0.89
8.255731  0.54
8.256232  0.75
8.256733  0.66
8.257234  0.63
8.257735  0.70
8.258236  0.70
8.258737  0.63
8.259239  0.69
8.259739  0.69
8.260240  0.64
8.260742  0.67
8.261243  0.76
8.261744  0.72
8.262245  0.69
8.262747  0.70
8.263249  0.64
8.263749  0.61
8.264250  0.78
8.264751  0.75
8.265253  0.73
8.265755  0.67
8.266256  0.75
8.266757  0.67
8.267259  0.64
8.267759  0.57
8.268261  0.67
8.268761  0.64
8.269262  0.69
8.269763  0.70
8.270265  0.66
8.270766  0.67
8.271266  0.69
8.271768  0.70
8.272269  0.64
8.272769  0.73
8.273271  0.73
8.273771  0.69
8.274272  0.59
8.274773  0.66
8.275274  0.63
8.275775  0.56
8.276277  0.80
8.276779  0.76
8.277279  0.78
8.277781  0.66
8.278281  0.76
8.278782  0.73
8.279283  0.75
8.279784  0.66
8.280285  0.70
8.280787  0.63
8.281288  0.70
8.281788  0.51
8.282289  0.72
8.282790  0.64
8.283291  0.67
8.283792  0.57
8.284293  0.54
8.284795  0.66
8.285295  0.69
8.285796  0.64
8.286298  0.66
8.286798  0.64
8.287299  0.59
8.287801  0.61
8.288301  0.59
8.288802  0.67
8.289303  0.66
8.289804  0.69
8.290305  0.61
8.290806  0.75
8.291307  0.70
8.291809  0.72
8.292309  0.70
8.292810  0.56
8.293312  0.70
8.293812  0.64
8.294313  0.70
8.294814  0.64
8.295316  0.53
8.295817  0.64
8.296318  0.67
8.296819  0.61
8.297321  0.59
8.297822  0.64
8.298323  0.63
8.298824  0.72
8.299325  0.59
8.299826  0.61
8.300327  0.61
8.300828  0.70
8.301329  0.78
8.301830  0.83
8.302331  0.64
8.302832  0.72
8.303333  0.63
8.303834  0.67
8.304335  0.61
8.304837  0.50
8.305337  0.54
8.305838  0.50
8.306339  0.69
8.306840  0.66
8.307342  0.59
8.307843  0.67
8.308343  0.57
8.308845  0.57
8.309345  0.72
8.309846  0.64
8.310347  0.63
8.310849  0.56
8.311350  0.69
8.311851  0.51
8.312352  0.59
8.312854  0.69
8.313354  0.63
8.313855  0.67
8.314356  0.63
8.314857  0.69
8.315358  0.70
8.315859  0.73
8.316360  0.76
8.316861  0.80
8.317363  0.67
8.317864  0.59
8.318365  0.73
8.318866  0.69
8.319368  0.70
8.319869  0.59
8.320369  0.72
8.320870  0.48
8.321372  0.56
8.321873  0.53
8.322374  0.66
8.322875  0.66
8.323376  0.76
8.323878  0.66
8.324379  0.61
8.324879  0.75
8.325380  0.66
8.325881  0.69
8.326382  0.67
8.326884  0.66
8.327385  0.69
8.327887  0.66
8.328387  0.64
8.328888  0.63
8.329389  0.73
8.329890  0.70
8.330391  0.61
8.330892  0.64
8.331393  0.59
8.331895  0.53
8.332395  0.61
8.332897  0.67
8.333397  0.53
8.333898  0.59
8.334399  0.66
8.334901  0.73
8.335403  0.63
8.335904  0.73
8.336406  0.70
8.336907  0.75
8.337408  0.69
8.337909  0.73
8.338410  0.56
8.338911  0.67
8.339413  0.70
8.339913  0.64
8.340414  0.70
8.340915  0.70
8.341417  0.75
8.341917  0.61
8.342419  0.47
8.342921  0.64
8.343422  0.75
8.343924  0.61
8.344425  0.56
8.344927  0.56
8.345427  0.69
8.345929  0.66
8.346429  0.57
8.346931  0.72
8.347431  0.67
8.347932  0.64
8.348434  0.66
8.348935  0.67
8.349435  0.63
8.349937  0.61
8.350437  0.63
8.350939  0.61
8.351441  0.67
8.351941  0.63
8.352442  0.70
8.352943  0.70
8.353445  0.51
8.353945  0.63
8.354447  0.72
8.354947  0.69
8.355448  0.51
8.355949  0.67
8.356450  0.61
8.356952  0.57
8.357452  0.73
8.357954  0.59
8.358454  0.70
8.358955  0.67
8.359457  0.59
8.359957  0.73
8.360458  0.61
8.360960  0.72
8.361461  0.69
8.361963  0.64
8.362464  0.54
8.362966  0.70
8.363468  0.57
8.363969  0.69
8.364470  0.73
8.364971  0.54
8.365473  0.67
8.365973  0.56
8.366474  0.75
8.366976  0.63
8.367477  0.61
8.367977  0.57
8.368478  0.59
8.368980  0.57
8.369481  0.66
8.369981  0.63
8.370482  0.66
8.370983  0.66
8.371484  0.61
8.371985  0.72
8.372487  0.69
8.372987  0.61
8.373489  0.54
8.373990  0.61
8.374491  0.69
8.374991  0.57
8.375493  0.67
8.375993  0.64
8.376495  0.63
8.376996  0.67
8.377496  0.64
8.377997  0.61
8.378498  0.76
8.379000  0.57
8.379501  0.66
8.380002  0.64
8.380502  0.72
8.381003  0.66
8.381504  0.66
8.382005  0.67
8.382506  0.59
8.383007  0.63
8.383508  0.61
8.384009  0.73
8.384510  0.64
8.385011  0.67
8.385513  0.63
8.386013  0.61
8.386514  0.67
8.387015  0.69
8.387516  0.57
8.388018  0.59
8.388518  0.64
8.389019  0.59
8.389520  0.63
8.390021  0.64
8.390522  0.70
8.391024  0.61
8.391524  0.53
8.392025  0.64
8.392526  0.63
8.393028  0.70
8.393528  0.57
8.394029  0.54
8.394530  0.70
8.395031  0.67
8.395532  0.61
8.396034  0.64
8.396535  0.72
8.397036  0.64
8.397537  0.69
8.398038  0.72
8.398539  0.64
8.399040  0.64
8.399541  0.63
8.400043  0.54
8.400543  0.63
8.401044  0.63
8.401545  0.59
8.402047  0.66
8.402549  0.67
8.403050  0.66
8.403551  0.57
8.404051  0.54
8.404552  0.64
8.405053  0.57
8.405554  0.63
8.406055  0.53
8.406557  0.59
8.407058  0.70
8.407559  0.61
8.408060  0.56
8.408561  0.51
8.409063  0.69
8.409563  0.64
8.410064  0.67
8.410565  0.72
8.411066  0.57
8.411567  0.70
8.412068  0.59
8.412569  0.54
8.413070  0.61
8.413571  0.56
8.414073  0.69
8.414574  0.61
8.415074  0.48
8.415575  0.57
8.416076  0.80
8.416578  0.73
8.417078  0.61
8.417579  0.63
8.418081  0.50
8.418581  0.59
8.419082  0.53
8.419583  0.57
8.420084  0.53
8.420586  0.44
8.421086  0.59
8.421588  0.72
8.422088  0.48
8.422589  0.70
8.423091  0.63
8.423592  0.51
8.424093  0.54
8.424595  0.72
8.425096  0.64
8.425597  0.70
8.426098  0.61
8.426599  0.54
8.427100  0.67
8.427601  0.61
8.428102  0.57
8.428603  0.53
8.429104  0.56
8.429605  0.57
8.430106  0.83
8.430608  0.56
8.431108  0.59
8.431610  0.48
8.432112  0.51
8.432613  0.70
8.433114  0.53
8.433615  0.70
8.434116  0.61
8.434618  0.63
8.435118  0.63
8.435620  0.70
8.436120  0.50
8.436621  0.50
8.437123  0.64
8.437625  0.51
8.438126  0.70
8.438626  0.59
8.439127  0.64
8.439628  0.45
8.440129  0.56
8.440630  0.75
8.441131  0.54
8.441632  0.61
8.442133  0.56
8.442635  0.59
8.443137  0.64
8.443638  0.67
8.444138  0.63
8.444639  0.54
8.445140  0.48
8.445641  0.59
8.446143  0.56
8.446643  0.66
8.447144  0.51
8.447646  0.57
8.448146  0.56
8.448647  0.67
8.449148  0.53
8.449649  0.59
8.450151  0.56
8.450651  0.54
8.451153  0.63
8.451654  0.53
8.452155  0.45
8.452657  0.48
8.453159  0.47
8.453661  0.50
8.454161  0.56
8.454663  0.64
8.455164  0.50
8.455665  0.54
8.456166  0.51
8.456667  0.53
8.457168  0.57
8.457669  0.54
8.458171  0.53
8.458671  0.50
8.459172  0.47
8.459674  0.42
8.460174  0.53
8.460675  0.59
8.461177  0.51
8.461677  0.54
8.462179  0.42
8.462679  0.44
8.463180  0.64
8.463681  0.59
8.464182  0.54
8.464683  0.50
8.465184  0.42
8.465685  0.53
8.466187  0.53
8.466687  0.40
8.467188  0.45
8.467689  0.25
8.468191  0.34
8.468692  0.40
8.469193  0.53
8.469695  0.51
8.470196  0.47
8.470697  0.42
8.471198  0.45
8.471699  0.47
8.472200  0.51
8.472701  0.47
8.473203  0.47
8.473703  0.64
8.474204  0.45
8.474705  0.47
8.475206  0.54
8.475708  0.47
8.476209  0.44
8.476710  0.53
8.477212  0.50
8.477712  0.40
8.478213  0.40
8.478714  0.40
8.479216  0.50
8.479717  0.42
8.480219  0.40
8.480719  0.39
8.481220  0.40
8.481722  0.34
8.482223  0.47
8.482724  0.47
8.483225  0.51
8.483726  0.37
8.484227  0.44
8.484729  0.61
8.485230  0.37
8.485730  0.51
8.486231  0.39
8.486733  0.50
8.487233  0.44
8.487734  0.40
8.488235  0.47
8.488737  0.36
8.489237  0.42
8.489738  0.50
8.490239  0.34
8.490740  0.47
8.491241  0.45
8.491742  0.37
8.492243  0.54
8.492744  0.31
8.493245  0.47
8.493747  0.42
8.494248  0.47
8.494749  0.40
8.495251  0.48
8.495753  0.22
8.496254  0.45
8.496754  0.44
8.497255  0.51
8.497756  0.50
8.498257  0.33
8.498759  0.39
8.499259  0.44
8.499761  0.42
8.500262  0.44
8.500764  0.42
8.501265  0.40
8.501766  0.48
8.502267  0.37
8.502768  0.23
8.503268  0.34
8.503769  0.42
8.504271  0.47
8.504773  0.40
8.505274  0.51
8.505774  0.47
8.506275  0.39
8.506776  0.50
8.507277  0.39
8.507778  0.47
8.508280  0.37
8.508780  0.47
8.509281  0.51
8.509782  0.42
8.510283  0.54
8.510784  0.42
8.511285  0.40
8.511786  0.45
8.512288  0.44
8.512788  0.45
8.513289  0.40
8.513790  0.54
8.514292  0.39
8.514793  0.39
8.515294  0.51
8.515796  0.44
8.516297  0.31
8.516798  0.42
8.517299  0.40
8.517801  0.48
8.518302  0.59
8.518803  0.42
8.519303  0.36
8.519804  0.45
8.520305  0.47
8.520807  0.51
8.521308  0.53
8.521809  0.54
8.522310  0.44
8.522811  0.57
8.523312  0.30
8.523814  0.51
8.524315  0.37
8.524816  0.50
8.525318  0.42
8.525818  0.47
8.526320  0.33
8.526822  0.56
8.527323  0.39
8.527824  0.48
8.528324  0.57
8.528825  0.45
8.529327  0.48
8.529827  0.44
8.530328  0.45
8.530829  0.48
8.531331  0.44
8.531833  0.44
8.532333  0.31
8.532834  0.37
8.533335  0.47
8.533836  0.40
8.534338  0.48
8.534838  0.39
8.535339  0.47
8.535840  0.34
8.536341  0.31
8.536843  0.42
8.537344  0.37
8.537844  0.47
8.538346  0.48
8.538847  0.40
8.539348  0.44
8.539849  0.48
8.540351  0.42
8.540852  0.47
8.541352  0.53
8.541853  0.36
8.542354  0.48
8.542856  0.30
8.543357  0.44
8.543858  0.39
8.544360  0.53
8.544861  0.50
8.545361  0.51
8.545862  0.48
8.546363  0.44
8.546865  0.53
8.547366  0.30
8.547867  0.44
8.548369  0.28
8.548869  0.57
8.549370  0.31
8.549871  0.45
8.550372  0.48
8.550873  0.39
8.551374  0.44
8.551875  0.56
8.552376  0.39
8.552877  0.45
8.553378  0.45
8.553880  0.48
8.554382  0.37
8.554883  0.45
8.555385  0.45
8.555886  0.47
8.556386  0.48
8.556887  0.42
8.557388  0.45
8.557890  0.54
8.558391  0.39
8.558893  0.48
8.559394  0.57
8.559894  0.56
8.560395  0.54
8.560896  0.54
8.561397  0.48
8.561899  0.50
8.562401  0.63
8.562901  0.50
8.563402  0.36
8.563904  0.51
8.564404  0.48
8.564905  0.59
8.565406  0.61
8.565907  0.50
8.566408  0.51
8.566909  0.50
8.567410  0.69
8.567912  0.42
8.568412  0.51
8.568913  0.50
8.569414  0.44
8.569915  0.42
8.570416  0.44
8.570917  0.37
8.571419  0.56
8.571921  0.59
8.572421  0.42
8.572922  0.42
8.573424  0.50
8.573924  0.33
8.574425  0.53
8.574926  0.48
8.575427  0.50
8.575929  0.57
8.576429  0.44
8.576931  0.63
8.577431  0.59
8.577932  0.34
8.578433  0.47
8.578934  0.44
8.579436  0.53
8.579937  0.39
8.580438  0.61
8.580939  0.51
8.581441  0.56
8.581943  0.44
8.582444  0.45
8.582944  0.45
8.583445  0.34
8.583946  0.51
8.584447  0.37
8.584949  0.50
8.585449  0.63
8.585950  0.47
8.586451  0.44
8.586952  0.36
8.587453  0.51
8.587954  0.54
8.588455  0.44
8.588956  0.61
8.589457  0.45
8.589959  0.39
8.590459  0.54
8.590960  0.48
8.591461  0.57
8.591962  0.37
8.592463  0.48
8.592965  0.42
8.593467  0.48
8.593969  0.51
8.594469  0.47
8.594970  0.37
8.595471  0.45
8.595973  0.56
8.596473  0.48
8.596975  0.53
8.597476  0.48
8.597977  0.45
8.598477  0.39
8.598978  0.45
8.599479  0.59
8.599980  0.53
8.600481  0.50
8.600983  0.47
8.601483  0.44
8.601984  0.47
8.602486  0.47
8.602987  0.53
8.603487  0.48
8.603989  0.48
8.604489  0.51
8.604991  0.40
8.605492  0.54
8.605994  0.48
8.606494  0.37
8.606995  0.44
8.607496  0.56
8.607997  0.47
8.608498  0.44
8.608999  0.45
8.609500  0.40
8.610002  0.50
8.610503  0.40
8.611004  0.45
8.611505  0.34
8.612007  0.44
8.612508  0.45
8.613009  0.59
8.613510  0.47
8.614012  0.48
8.614513  0.48
8.615013  0.53
8.615515  0.53
8.616016  0.48
8.616516  0.51
8.617017  0.47
8.617518  0.47
8.618019  0.54
8.618521  0.50
8.619022  0.50
8.619524  0.37
8.620025  0.51
8.620526  0.51
8.621027  0.50
8.621528  0.34
8.622029  0.63
8.622530  0.39
8.623032  0.54
8.623533  0.45
8.624034  0.61
8.624535  0.48
8.625036  0.50
8.625538  0.61
8.626038  0.40
8.626539  0.51
8.627040  0.39
8.627542  0.51
8.628043  0.42
8.628545  0.39
8.629045  0.57
8.629547  0.36
8.630048  0.54
8.630549  0.54
8.631049  0.42
8.631550  0.53
8.632051  0.44
8.632553  0.64
8.633053  0.39
8.633554  0.48
8.634055  0.63
8.634556  0.57
8.635057  0.47
8.635558  0.33
8.636059  0.42
8.636560  0.53
8.637061  0.56
8.637563  0.40
8.638063  0.44
8.638564  0.40
8.639065  0.63
8.639567  0.34
8.640067  0.51
8.640568  0.33
8.641069  0.37
8.641571  0.40
8.642071  0.48
8.642573  0.53
8.643074  0.50
8.643576  0.53
8.644077  0.48
8.644577  0.54
8.645078  0.37
8.645579  0.45
8.646080  0.33
8.646581  0.45
8.647082  0.54
8.647583  0.45
8.648084  0.59
8.648585  0.44
8.649086  0.45
8.649587  0.54
8.650088  0.45
8.650589  0.47
8.651091  0.40
8.651591  0.44
8.652092  0.45
8.652594  0.36
8.653095  0.66
8.653596  0.51
8.654097  0.40
8.654598  0.50
8.655099  0.47
8.655600  0.59
8.656102  0.39
8.656603  0.53
8.657104  0.47
8.657605  0.45
8.658107  0.42
8.658608  0.48
8.659109  0.48
8.659609  0.48
8.660110  0.40
8.660612  0.56
8.661112  0.48
8.661614  0.39
8.662114  0.45
8.662616  0.48
8.663116  0.40
8.663617  0.44
8.664119  0.45
8.664620  0.50
8.665121  0.50
8.665622  0.47
8.666124  0.36
8.666625  0.42
8.667126  0.53
8.667627  0.56
8.668128  0.67
8.668629  0.50
8.669130  0.48
8.669631  0.53
8.670132  0.40
8.670633  0.42
8.671135  0.45
8.671635  0.45
8.672136  0.45
8.672637  0.27
8.673138  0.47
8.673639  0.54
8.674140  0.53
8.674641  0.54
8.675142  0.42
8.675643  0.59
8.676145  0.45
8.676645  0.53
8.677147  0.39
8.677647  0.42
8.678149  0.54
8.678649  0.45
8.679151  0.42
8.679651  0.44
8.680152  0.51
8.680654  0.45
8.681155  0.53
8.681655  0.51
8.682156  0.48
8.682657  0.45
8.683158  0.51
8.683660  0.39
8.684162  0.53
8.684662  0.30
8.685164  0.48
8.685665  0.39
8.686167  0.34
8.686668  0.40
8.687169  0.39
8.687670  0.53
8.688172  0.45
8.688673  0.44
8.689175  0.45
8.689676  0.51
8.690177  0.51
8.690678  0.63
8.691179  0.42
8.691680  0.51
8.692182  0.59
8.692682  0.42
8.693184  0.57
8.693686  0.50
8.694187  0.50
8.694687  0.40
8.695189  0.50
8.695689  0.39
8.696191  0.50
8.696692  0.42
8.697193  0.56
8.697693  0.30
8.698194  0.53
8.698696  0.44
8.699197  0.51
8.699698  0.50
8.700199  0.50
8.700701  0.45
8.701202  0.48
8.701704  0.34
8.702204  0.57
8.702705  0.42
8.703207  0.53
8.703707  0.48
8.704209  0.45
8.704709  0.56
8.705210  0.45
8.705711  0.42
8.706213  0.39
8.706714  0.40
8.707215  0.48
8.707716  0.47
8.708217  0.50
8.708718  0.50
8.709219  0.47
8.709720  0.39
8.710221  0.45
8.710722  0.56
8.711223  0.40
8.711725  0.50
8.712226  0.45
8.712727  0.61
8.713229  0.50
8.713730  0.47
8.714230  0.63
8.714731  0.45
8.715232  0.44
8.715733  0.39
8.716234  0.39
8.716735  0.45
8.717236  0.39
8.717738  0.63
8.718238  0.53
8.718739  0.30
8.719241  0.57
8.719742  0.47
8.720243  0.42
8.720744  0.45
8.721245  0.53
8.721746  0.44
8.722248  0.39
8.722748  0.39
8.723249  0.50
8.723751  0.56
8.724251  0.45
8.724753  0.42
8.725254  0.45
8.725754  0.61
8.726256  0.36
8.726757  0.44
8.727259  0.51
8.727759  0.57
8.728261  0.50
8.728762  0.48
8.729262  0.40
8.729764  0.61
8.730264  0.37
8.730765  0.57
8.731267  0.42
8.731767  0.53
8.732269  0.31
8.732769  0.48
8.733270  0.63
8.733772  0.48
8.734272  0.42
8.734773  0.44
8.735274  0.39
8.735775  0.48
8.736276  0.50
8.736777  0.56
8.737278  0.56
8.737780  0.39
8.738280  0.50
8.738782  0.44
8.739283  0.53
8.739785  0.45
8.740285  0.50
8.740786  0.57
8.741287  0.54
8.741788  0.45
8.742289  0.47
8.742791  0.56
8.743292  0.42
8.743792  0.53
8.744294  0.48
8.744794  0.50
8.745296  0.42
8.745797  0.42
8.746298  0.33
8.746799  0.44
8.747300  0.45
8.747801  0.48
8.748302  0.53
8.748804  0.51
8.749305  0.51
8.749806  0.56
8.750308  0.50
8.750809  0.51
8.751310  0.51
8.751811  0.63
8.752311  0.64
8.752812  0.39
8.753314  0.42
8.753814  0.48
8.754315  0.56
8.754816  0.48
8.755318  0.34
8.755818  0.50
8.756319  0.34
8.756820  0.40
8.757321  0.37
8.757823  0.45
8.758323  0.50
8.758824  0.37
8.759326  0.54
8.759826  0.56
8.760328  0.42
8.760829  0.48
8.761331  0.50
8.761832  0.50
8.762333  0.51
8.762833  0.61
8.763334  0.39
8.763835  0.40
8.764336  0.51
8.764838  0.48
8.765339  0.45
8.765840  0.56
8.766341  0.37
8.766842  0.42
8.767343  0.28
8.767844  0.40
8.768346  0.59
8.768847  0.40
8.769348  0.53
8.769849  0.45
8.770351  0.53
8.770852  0.39
8.771353  0.44
8.771855  0.51
8.772355  0.51
8.772856  0.48
8.773357  0.47
8.773858  0.57
8.774359  0.50
8.774860  0.42
8.775361  0.54
8.775863  0.48
8.776363  0.54
8.776865  0.39
8.777365  0.48
8.777867  0.48
8.778367  0.40
8.778868  0.50
8.779369  0.57
8.779871  0.51
8.780371  0.51
8.780872  0.48
8.781373  0.61
8.781875  0.45
8.782375  0.40
8.782876  0.50
8.783377  0.39
8.783879  0.53
8.784379  0.45
8.784881  0.47
8.785381  0.44
8.785883  0.47
8.786383  0.53
8.786884  0.37
8.787385  0.42
8.787887  0.64
8.788387  0.56
8.788889  0.45
8.789390  0.53
8.789891  0.47
8.790393  0.44
8.790894  0.53
8.791395  0.45
8.791895  0.51
8.792397  0.61
8.792897  0.37
8.793398  0.34
8.793899  0.45
8.794401  0.44
8.794902  0.54
8.795403  0.50
8.795903  0.40
8.796404  0.42
8.796905  0.57
8.797406  0.40
8.797907  0.37
8.798409  0.54
8.798909  0.57
8.799410  0.51
8.799912  0.42
8.800412  0.51
8.800914  0.54
8.801414  0.61
8.801915  0.36
8.802416  0.53
8.802917  0.54
8.803418  0.37
8.803919  0.50
8.804421  0.47
8.804921  0.47
8.805423  0.53
8.805923  0.50
8.806424  0.51
8.806925  0.44
8.807426  0.53
8.807927  0.50
8.808429  0.47
8.808931  0.48
8.809433  0.44
8.809934  0.56
8.810435  0.50
8.810936  0.47
8.811438  0.45
8.811938  0.56
8.812439  0.50
8.812940  0.42
8.813441  0.50
8.813942  0.50
8.814443  0.40
8.814945  0.42
8.815445  0.50
8.815946  0.37
8.816448  0.31
8.816949  0.44
8.817450  0.57
8.817950  0.54
8.818451  0.61
8.818953  0.47
8.819453  0.39
8.819955  0.57
8.820455  0.40
8.820957  0.48
8.821457  0.45
8.821958  0.47
8.822460  0.54
8.822960  0.44
8.823461  0.50
8.823963  0.57
8.824463  0.42
8.824965  0.56
8.825465  0.47
8.825967  0.47
8.826467  0.36
8.826968  0.42
8.827470  0.47
8.827971  0.50
8.828471  0.48
8.828973  0.53
8.829474  0.48
8.829975  0.50
8.830476  0.59
8.830977  0.54
8.831479  0.48
8.831980  0.42
8.832481  0.48
8.832982  0.44
8.833484  0.50
8.833986  0.56
8.834487  0.47
8.834989  0.44
8.835489  0.61
8.835991  0.53
8.836491  0.44
8.836992  0.48
8.837494  0.40
8.837995  0.54
8.838495  0.44
8.838997  0.48
8.839498  0.51
8.839999  0.54
8.840501  0.48
8.841001  0.50
8.841502  0.30
8.842003  0.50
8.842504  0.48
8.843005  0.39
8.843506  0.39
8.844007  0.51
8.844508  0.47
8.845009  0.51
8.845510  0.50
8.846011  0.63
8.846512  0.48
8.847013  0.54
8.847514  0.51
8.848015  0.56
8.848517  0.53
8.849017  0.59
8.849519  0.47
8.850019  0.54
8.850520  0.56
8.851021  0.61
8.851522  0.56
8.852023  0.64
8.852525  0.51
8.853026  0.56
8.853528  0.40
8.854028  0.37
8.854530  0.59
8.855031  0.63
8.855532  0.57
8.856034  0.54
8.856534  0.53
8.857036  0.59
8.857537  0.61
8.858038  0.57
8.858540  0.48
8.859041  0.45
8.859541  0.45
8.860043  0.61
8.860543  0.44
8.861044  0.51
8.861545  0.53
8.862046  0.51
8.862547  0.59
8.863048  0.53
8.863550  0.50
8.864050  0.51
8.864551  0.51
8.865052  0.64
8.865553  0.48
8.866055  0.59
8.866557  0.54
8.867058  0.54
8.867560  0.54
8.868061  0.59
8.868562  0.51
8.869064  0.56
8.869564  0.56
8.870066  0.48
8.870566  0.45
8.871067  0.57
8.871568  0.57
8.872070  0.44
8.872570  0.54
8.873072  0.53
8.873573  0.56
8.874074  0.57
8.874576  0.54
8.875077  0.37
8.875578  0.44
8.876079  0.66
8.876579  0.56
8.877080  0.54
8.877581  0.34
8.878082  0.59
8.878583  0.54
8.879084  0.44
8.879585  0.42
8.880086  0.64
8.880587  0.51
8.881088  0.53
8.881589  0.44
8.882091  0.56
8.882592  0.50
8.883092  0.50
8.883593  0.50
8.884095  0.39
8.884596  0.54
8.885098  0.70
8.885599  0.51
8.886099  0.45
8.886601  0.50
8.887102  0.44
8.887603  0.57
8.888104  0.50
8.888605  0.51
8.889106  0.59
8.889607  0.47
8.890109  0.47
8.890611  0.59
8.891111  0.50
8.891612  0.45
8.892113  0.47
8.892614  0.51
8.893115  0.50
8.893616  0.51
8.894117  0.53
8.894618  0.53
8.895119  0.47
8.895620  0.47
8.896122  0.56
8.896622  0.37
8.897123  0.63
8.897624  0.47
8.898125  0.63
8.898626  0.67
8.899128  0.48
8.899628  0.59
8.900129  0.70
8.900631  0.67
8.901131  0.54
8.901633  0.51
8.902133  0.61
8.902635  0.54
8.903137  0.42
8.903637  0.53
8.904138  0.66
8.904639  0.53
8.905141  0.54
8.905642  0.61
8.906142  0.42
8.906644  0.59
8.907145  0.48
8.907645  0.61
8.908147  0.56
8.908647  0.48
8.909148  0.51
8.909650  0.45
8.910152  0.48
8.910652  0.51
8.911153  0.42
8.911655  0.45
8.912156  0.45
8.912656  0.56
8.913158  0.54
8.913659  0.48
8.914160  0.48
8.914661  0.54
8.915163  0.42
8.915663  0.50
8.916164  0.53
8.916665  0.54
8.917167  0.48
8.917667  0.64
8.918168  0.63
8.918669  0.59
8.919171  0.44
8.919671  0.44
8.920173  0.47
8.920674  0.50
8.921176  0.53
8.921676  0.33
8.922177  0.57
8.922679  0.51
8.923179  0.57
8.923680  0.51
8.924182  0.50
8.924683  0.45
8.925184  0.51
8.925686  0.59
8.926187  0.50
8.926688  0.44
8.927189  0.42
8.927690  0.50
8.928191  0.47
8.928692  0.57
8.929193  0.40
8.929694  0.57
8.930196  0.50
8.930696  0.53
8.931198  0.51
8.931698  0.45
8.932199  0.64
8.932700  0.53
8.933201  0.48
8.933702  0.59
8.934204  0.53
8.934704  0.66
8.935205  0.59
8.935706  0.50
8.936207  0.56
8.936708  0.48
8.937209  0.59
8.937710  0.53
8.938211  0.57
8.938713  0.44
8.939214  0.50
8.939716  0.57
8.940216  0.37
8.940718  0.56
8.941219  0.54
8.941719  0.44
8.942221  0.44
8.942723  0.54
8.943223  0.45
8.943724  0.56
8.944225  0.54
8.944727  0.40
8.945229  0.53
8.945729  0.48
8.946230  0.59
8.946732  0.51
8.947233  0.57
8.947734  0.51
8.948236  0.47
8.948736  0.42
8.949237  0.45
8.949739  0.51
8.950239  0.47
8.950741  0.50
8.951242  0.44
8.951743  0.45
8.952244  0.48
8.952745  0.53
8.953246  0.53
8.953747  0.47
8.954248  0.45
8.954749  0.50
8.955250  0.51
8.955751  0.53
8.956252  0.47
8.956753  0.57
8.957255  0.50
8.957756  0.53
8.958257  0.51
8.958757  0.48
8.959259  0.45
8.959760  0.61
8.960262  0.51
8.960763  0.64
8.961265  0.51
8.961766  0.50
8.962268  0.57
8.962770  0.47
8.963271  0.56
8.963772  0.56
8.964274  0.61
8.964775  0.54
8.965276  0.44
8.965776  0.61
8.966277  0.53
8.966778  0.61
8.967280  0.44
8.967780  0.64
8.968281  0.57
8.968783  0.44
8.969283  0.50
8.969784  0.54
8.970285  0.51
8.970786  0.56
8.971287  0.47
8.971788  0.48
8.972289  0.57
8.972790  0.51
8.973291  0.54
8.973792  0.42
8.974293  0.56
8.974794  0.56
8.975295  0.61
8.975797  0.50
8.976297  0.51
8.976798  0.51
8.977299  0.56
8.977801  0.45
8.978301  0.59
8.978802  0.47
8.979303  0.63
8.979805  0.48
8.980306  0.64
8.980807  0.45
8.981308  0.56
8.981809  0.48
8.982311  0.63
8.982811  0.53
8.983312  0.66
8.983814  0.51
8.984316  0.48
8.984816  0.47
8.985318  0.59
8.985818  0.40
8.986319  0.63
8.986821  0.47
8.987322  0.48
8.987823  0.47
8.988324  0.61
8.988825  0.51
8.989326  0.67
8.989828  0.51
8.990329  0.59
8.990829  0.56
8.991331  0.50
8.991833  0.50
8.992333  0.39
8.992835  0.54
8.993336  0.54
8.993837  0.54
8.994338  0.63
8.994839  0.50
8.995341  0.53
8.995842  0.51
8.996344  0.72
8.996846  0.51
8.997346  0.44
8.997847  0.56
8.998348  0.57
8.998849  0.61
8.999350  0.53
8.999851  0.53
9.000352  0.57
9.000853  0.57
9.001354  0.50
9.001855  0.50
9.002357  0.54
9.002858  0.54
9.003358  0.53
9.003859  0.53
9.004360  0.59
9.004862  0.56
9.005363  0.56
9.005865  0.63
9.006365  0.51
9.006866  0.67
9.007368  0.56
9.007868  0.48
9.008369  0.56
9.008871  0.40
9.009373  0.50
9.009874  0.57
9.010375  0.54
9.010875  0.54
